event_id,customer_id,session_id,event_timestamp,event_type,product_id
E10007,C0002,d80b43eb,2025-05-31 10:02:00,add_to_cart,P035
E10008,C0002,d80b43eb,2025-05-31 10:04:00,add_to_cart,P015
E10009,C0002,d80b43eb,2025-05-31 09:58:00,add_to_cart,P048
E10010,C0002,d80b43eb,2025-05-31 10:02:00,add_to_cart,P021
E10000,C0002,d80b43eb,2025-05-31 09:58:00,view_item,P001
E10001,C0002,d80b43eb,2025-05-31 09:58:00,view_item,P035
E10002,C0002,d80b43eb,2025-05-31 10:05:00,view_item,P002
E10003,C0002,d80b43eb,2025-05-31 10:01:00,view_item,P015
E10004,C0002,d80b43eb,2025-05-31 09:55:00,view_item,P048
E10005,C0002,d80b43eb,2025-05-31 09:52:00,view_item,P030
E10006,C0002,d80b43eb,2025-05-31 10:01:00,view_item,P021
E10011,C0002,d80b43eb,2025-05-31 10:10:21,purchase,P035
E10012,C0002,d80b43eb,2025-05-31 10:10:18,purchase,P048
E10013,C0002,d80b43eb,2025-05-31 10:10:22,purchase,P021
E10014,C0002,c5ba5df5,2025-07-04 04:54:00,view_item,P011
E10015,C0002,c5ba5df5,2025-07-04 04:51:00,view_item,P001
E10016,C0002,c5ba5df5,2025-07-04 04:48:00,view_item,P008
E10017,C0002,c5ba5df5,2025-07-04 04:53:00,view_item,P013
E10021,C0002,ed72f8b9,2025-08-13 02:29:00,add_to_cart,P044
E10018,C0002,ed72f8b9,2025-08-13 02:27:00,view_item,P044
E10019,C0002,ed72f8b9,2025-08-13 02:38:00,view_item,P016
E10020,C0002,ed72f8b9,2025-08-13 02:33:00,view_item,P046
E10022,C0002,ed72f8b9,2025-08-13 02:41:25,purchase,P044
E10029,C0002,a1a3d919,2025-08-25 21:56:00,add_to_cart,P031
E10030,C0002,a1a3d919,2025-08-25 21:48:00,add_to_cart,P032
E10023,C0002,a1a3d919,2025-08-25 21:56:00,view_item,P025
E10024,C0002,a1a3d919,2025-08-25 21:53:00,view_item,P031
E10025,C0002,a1a3d919,2025-08-25 21:56:00,view_item,P036
